cohort,sample_id,lot,ensemble_score
2023,S01,A,0.202832
2023,S01,B,0.260222
2023,S01,C,0.309308
2023,S02,A,0.280679
2023,S02,B,0.342371
2023,S02,C,0.396312
2023,S03,A,0.407124
2023,S03,B,0.45547
2023,S03,C,0.533026
2023,S04,A,0.576008
2023,S04,B,0.628909
2023,S04,C,0.712892
2023,S05,A,0.213636
2023,S05,B,0.345858
2023,S05,C,0.314532
