y,ARID1B,CCL21,CCN1,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,LINC02593,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1
0.323549515635031,-0.579932,-6.307853,3.850757,-2.985924,-4.570887,-3.307853,-4.192375,-2.607413,-3.192375,-5.307853,-3.433383,-0.491936,-5.085460,-4.307853,-1.589034,-5.307853,0.622885,2.218321,0.525037,-2.848421,-5.307853,-5.085460,-1.098399,-0.131264,-3.307853,-2.763532,-4.085460,1.936908,-0.322959,-1.870447,-0.712906,1.516576,2.728321,-2.985924
0.3640040523768893,-0.611160,-6.565357,2.007028,-1.196123,-4.980394,-4.062856,-2.267676,-4.243429,-1.243429,-4.690888,-3.196123,1.064000,-4.243429,-4.690888,-3.243429,-5.342964,0.097608,1.562208,1.187303,-2.940866,-6.150319,-7.150319,-1.304829,-0.089623,-5.565357,-3.196123,-5.565357,1.658645,-2.267676,-4.150319,-0.463819,1.200620,1.198409,-2.626757
0.3868923813190736,-0.434273,-5.884306,-0.008667,-0.462842,-6.369733,-3.047805,-1.669293,-2.760924,-0.547003,-4.443734,-2.521736,3.283470,-4.047805,-3.936774,-2.691661,-5.884306,1.304106,1.389156,4.496773,-2.462842,-4.604198,0.465686,-1.910301,-0.005161,-3.833680,-3.737465,-4.784771,2.837769,-2.316622,-2.232230,-0.140914,0.297024,1.269789,-2.215928
0.2853662216874323,-0.154032,-0.569069,2.728611,-2.154032,-1.569069,-0.569069,-2.154032,1.933431,-2.154032,-0.569069,-1.569069,0.015893,-1.154032,-2.154032,-0.154032,-1.569069,-0.832104,0.305400,2.337821,-0.154032,0.167896,-1.569069,-0.832104,-0.832104,-0.832104,-1.154032,-1.569069,1.238285,0.305400,-0.569069,-2.154032,1.015893,-0.569069,-2.154032
0.2322141918964797,-0.401094,-6.449853,3.202992,-1.913800,-5.964426,-2.749413,-1.938891,-4.864891,-0.627123,-4.771781,-3.601856,1.749819,-3.771781,-3.964426,-3.186819,-5.771781,1.045202,1.530858,3.949104,-2.684318,-5.186819,-4.449853,-0.652840,-0.010230,-5.771781,-2.622034,-5.449853,1.538832,-1.337153,-4.379464,-0.279928,0.457038,2.449202,-2.504995
0.5585173517054093,-0.434677,-7.261225,1.618358,-5.261225,-5.676263,-3.939297,-3.013298,-4.091300,-1.818282,-3.939297,-2.013298,1.768062,-3.676263,-2.769372,-2.173762,-5.261225,2.317147,2.632835,3.115443,-2.261225,-4.453870,-3.307029,-1.868908,-0.061553,-3.131942,-3.354335,-4.354335,2.231629,-1.378582,-1.071401,-0.184410,1.503646,1.704559,-2.588800
0.2885572301378592,-0.115228,-7.715141,2.108226,-1.331437,-5.715141,-3.100431,-4.191579,-5.393213,-2.832498,-4.255709,-3.907786,-0.927238,-5.715141,-4.715141,-2.375291,-5.255709,1.435876,1.348254,0.620250,-3.071285,-5.130178,-6.393213,-1.340101,-0.053363,-4.808250,-2.606616,-4.130178,1.809401,0.802529,-2.987220,-0.649052,1.246309,2.593767,-3.042715
0.3284275542161971,-0.353401,-5.456689,-2.574046,-3.502493,-4.756249,-2.598708,-1.856776,-2.784264,-1.770188,-5.286764,-5.871726,-1.358657,-5.871726,-3.997257,-4.649334,-6.871726,-1.317138,2.116011,6.796826,-0.933127,-6.134761,-6.871726,-4.871726,-0.604940,-3.997257,-2.871726,-4.871726,2.446440,-2.081649,-2.997257,-0.286764,-1.379873,0.614773,-2.784264
0.5928246413351677,0.056359,-6.984387,2.808945,-1.143085,-5.761995,-3.524955,-2.925493,-2.925493,-2.321422,-3.925493,-2.481887,0.994800,-4.984387,-3.925493,-3.143085,-4.247421,0.376094,1.527366,3.870481,-1.460825,-4.984387,-5.247421,-1.450408,0.228312,-6.569350,-3.211798,-3.524955,2.353978,-5.247421,-1.592070,-1.007107,3.180520,0.796973,-2.481887
0.4842262965627777,-0.452720,-7.091760,1.027181,-0.794079,-4.354794,-4.153160,-2.526975,-2.076809,-1.293018,-3.722526,-3.722526,0.040954,-4.676722,-3.921835,-2.699442,-6.676722,0.807094,1.739020,4.880981,0.101355,-5.217291,-2.391320,-2.745985,0.196722,-6.676722,-2.818741,-5.354794,2.567642,-2.895362,-1.225511,-0.188882,0.375846,1.044377,-2.506797
